utterance,intentions
i will be leaving on,informtrainidleaveat
does that train arrive in cambridge before,informarrivebydestinationtrainid
yes and ill just need the train id and departure,informticketleaveatdeparturetrainidarrivebydaydestination
okay would you please book 2 tickets for that,offerbookreferenceticket
no thanks for your service i,bye
i am looking for a restaurant in the expensive price,requestareafood
i would like something in the center of town,select
no preference just need the address and phone number of the restaurant also i am needing a train from cambridge nee to leave after,recommendname
that sounds good thanks i also need to get from cambridge to kings lynn on saturday i can leave anytime after,offerbookleaveat
yes that would definitely work for me ,offerbook
yes please can i get the reference number for 4,offerbookreference
no thats all i need today thanks for your,bye
that is all i  needed thank,bye
help me reserve a taxi to take me to,requestdeparture
i need to leave from lovell,requestarriveby
it doesnt matter i just want to leave there after,inform
great what are the details,informphonecar
thats all i need for now thank you,bye
i am looking for aa train to cambridge that will depart after,requestdeparture
ill be leaving from leicester on,informchoiceleaveatdeparture
thats sounds fine could you let me know how much each train will,offerbook
no thanks i will go ahead and book later i am also looking for a hotel room that is moderately,requestarea
the place does not have to have free parking should include free wifi and should be in the centre of,informname
that wont be necessary could you just give me the postcode hotel type and what its star rating is,informstarsnamepostcodetype
thank you very much for all your,welcome
i think thats,bye
thank you i will call,greet
thank you,greet
im looking for a restaurant called thanh binh can you help me find,informfoodpricerangeareaname
yes but if you could book it for 6 at 1200 on friday that would be,inform
hmm how about,requesttime
sure what do you have,requestfood
no thank you  can you help me find an,requesttype
any kind of entertainment in the centre,requestarea
yes the type of concert hall i need address and a taxi for 11 and the car type and contact number,informtypechoicenamearea
great  can you please give me the,informaddress
great can you also book a taxi for,requestdestinationdeparture
i just need it to arrive at the restaurant at the correct,requestdestinationdeparture
it will be for six,inform
can you please just book me for taxi,bookreferencenametimedaypeople
yes please i need it to get to the restaurant in time for that,informcarphonearrivebydestination
thank you that is,bye
can you help me find a train for wednesday heading into,informchoice
im departing from london liverpool street and would like to leave after 1615 does this,offerbook
